BorrowerID,LoanDate,LoanAmount,InterestRate,LoanTermMonths,CreditScore,AnnualIncome,DebtToIncomeRatio,EmploymentLengthYears,HomeOwnership,Purpose,MonthlyPayment,OpenAccounts,TotalAccounts,MonthsSinceLastDelinquency,RevolvingUtilization,HasBankruptcies,HasTaxLiens,State,Age,EducationLevel,MaritalStatus,NumberOfDependents,TimeAtCurrentAddressMonths,Defaulted
11,2020-11-26,43240,0.16644175195364624,36,662,197586,0.5376049022240128,14,Rent,Home Improvement,1815,2,20,18.0,0.3073784710042736,0,0,NC,47,Master's,Single,2,230,0
12,2020-03-28,7276,0.2480417787175243,12,548,140938,0.3561055084051423,17,Mortgage,Debt Consolidation,797,3,27,23.0,0.7735653751951652,0,0,TX,50,High School,Single,1,199,0
13,2023-10-28,49403,0.09783175555644862,24,801,185051,0.30218221499057385,19,Rent,Credit Card Refinancing,222,3,6,40.0,0.8785119718112512,0,0,MI,26,Bachelor's,Single,0,224,0
14,2023-01-28,39663,0.15614747105736718,12,537,100981,0.18098359220147017,12,Own,Debt Consolidation,1219,4,12,48.0,0.6240199941140638,0,0,NY,53,Master's,Widowed,4,13,0
15,2022-05-21,14994,0.18019146702361455,12,635,75107,0.4504089813193397,4,Mortgage,Credit Card Refinancing,704,12,24,17.0,0.9274036757291033,0,0,PA,59,Associate's,Single,0,6,0
16,2020-05-10,24499,0.17891823494846873,12,809,152232,0.5634033545550202,0,Mortgage,Home Improvement,614,9,20,32.0,0.3830438128500836,0,0,IL,69,Associate's,Married,0,195,0
17,2023-08-25,24040,0.16225870858968056,48,718,107897,0.28768867694965994,17,Mortgage,Debt Consolidation,1003,10,29,45.0,0.15188640201736225,0,0,FL,23,Bachelor's,Divorced,0,155,0
18,2022-02-08,44320,0.2053856020654451,48,847,92577,0.22079250033541672,13,Mortgage,Other,1566,1,8,35.0,0.17964298231704134,0,0,PA,26,Associate's,Widowed,2,121,0
19,2020-12-09,17959,0.09099624190536329,60,795,161918,0.37743345849957854,4,Mortgage,Home Improvement,1637,12,22,9.0,0.66983195229722,0,0,PA,68,High School,Divorced,4,45,0
20,2023-12-08,7099,0.1951254400548832,24,533,124180,0.4980929742169351,5,Own,Debt Consolidation,1494,7,27,54.0,0.40752642307861653,0,0,TX,54,Bachelor's,Divorced,3,106,1
21,2022-03-16,43267,0.17394691428661785,36,578,39924,0.10188384727526653,15,Mortgage,Credit Card Refinancing,404,7,23,13.0,0.1563145983418177,0,0,NY,56,Master's,Single,1,26,0
22,2021-01-20,20576,0.22921502235891467,36,735,131193,0.4156887181977146,11,Own,Credit Card Refinancing,1480,11,7,6.0,0.2922268549036079,0,0,NC,40,Associate's,Divorced,0,4,0
23,2023-04-30,36946,0.21943888780671636,36,772,164954,0.39825800034931547,19,Rent,Home Improvement,1271,4,12,11.0,0.5306050720327485,0,0,GA,36,High School,Married,4,37,0
24,2022-08-13,7116,0.11302940782651066,12,660,21095,0.25907609290208,17,Own,Home Improvement,1408,13,28,21.0,0.12144526696213642,0,0,FL,56,Master's,Single,1,21,0
25,2020-10-03,16563,0.10524746499503063,48,674,124205,0.3257115018024852,1,Mortgage,Credit Card Refinancing,756,11,15,26.0,0.003442498944409733,0,0,PA,29,PhD,Widowed,4,28,0
26,2023-03-30,27788,0.2463306647704896,24,807,192055,0.22348161208091047,12,Rent,Debt Consolidation,1965,1,29,47.0,0.9172980474956126,0,0,TX,68,High School,Married,1,210,0
27,2021-04-04,27928,0.1554530361830513,12,720,34123,0.49494286897592144,16,Own,Other,1996,3,5,36.0,0.3048611907780857,0,0,GA,22,Associate's,Widowed,4,32,0
28,2023-08-30,37336,0.23128419278288737,48,508,65278,0.4172674666830538,16,Own,Business,361,5,29,10.0,0.22149814534298629,0,0,TX,59,High School,Single,3,103,0
29,2020-01-22,10847,0.08277620475609644,48,788,117911,0.36635581101949266,15,Own,Home Improvement,1697,12,9,35.0,0.6984808097281888,1,0,NY,43,PhD,Single,4,181,0
30,2020-09-09,27155,0.17856378296003486,24,612,71999,0.2962630992089136,17,Mortgage,Credit Card Refinancing,590,2,10,59.0,0.8534027221808783,0,0,OH,38,PhD,Widowed,4,161,0
31,2022-01-17,15135,0.21197203747211724,24,704,51153,0.24569219301036607,7,Mortgage,Debt Consolidation,837,7,3,12.0,0.6322787673435242,0,0,TX,37,High School,Divorced,0,26,0
32,2022-05-06,18774,0.23947904991728938,24,685,38344,0.5113682430217157,2,Own,Home Improvement,1154,14,26,31.0,0.2544827540985316,0,0,NC,66,Master's,Widowed,0,145,0
33,2021-04-19,2742,0.1174680282034047,12,840,57656,0.3257038352167845,16,Own,Debt Consolidation,801,10,12,7.0,0.8616366233543087,0,0,TX,22,Master's,Married,0,184,0
34,2022-12-18,19309,0.1949962339848105,60,696,21212,0.35072370992083635,17,Rent,Home Improvement,986,10,29,6.0,0.5104271961272193,0,0,GA,24,PhD,Divorced,4,116,0
35,2021-05-25,1619,0.1577626018079238,24,765,140385,0.36041436527037085,5,Mortgage,Credit Card Refinancing,1391,7,21,42.0,0.3811908029602469,0,0,NY,27,Bachelor's,Single,3,93,1
36,2021-11-30,18658,0.06212578521329364,60,761,160073,0.3241834677157882,7,Mortgage,Debt Consolidation,111,12,23,42.0,0.604726119632974,0,0,NC,24,Bachelor's,Married,1,212,0
37,2022-09-02,35707,0.1879999474617887,12,747,98784,0.22804421311921189,12,Rent,Credit Card Refinancing,1314,10,8,57.0,0.7006122236383164,1,0,CA,68,Master's,Married,0,30,0
38,2020-07-08,21337,0.1880193116475687,60,614,118723,0.160170220121526,7,Own,Debt Consolidation,1523,5,5,16.0,0.5938298741151422,1,0,TX,51,Bachelor's,Single,2,121,0
39,2022-08-15,17001,0.23612136096930741,36,620,101144,0.14926863358387035,18,Own,Home Improvement,1660,12,25,21.0,0.9202454457228059,0,0,NY,68,Master's,Divorced,4,5,0
40,2021-11-17,1968,0.1494624892337945,60,640,187499,0.4787312616703443,5,Rent,Business,190,10,15,45.0,0.6280178059990537,0,0,OH,32,Associate's,Single,3,118,0
41,2022-08-15,48614,0.09605018414210294,24,564,51368,0.21176391115075568,14,Own,Business,699,6,27,33.0,0.8785807126255765,0,0,IL,48,Master's,Married,3,6,0
42,2021-07-16,26892,0.05891276468973583,12,775,81160,0.1278364074769878,9,Own,Other,1967,1,25,19.0,0.5869584351538735,0,0,GA,43,Associate's,Married,0,106,0
43,2023-06-21,26619,0.13312843733718113,24,812,176926,0.49875870334794303,16,Rent,Other,1624,4,2,52.0,0.3296795737301249,0,0,NY,27,PhD,Married,0,124,0
44,2022-04-11,1281,0.11038334001550038,36,738,30715,0.177030826430324,0,Rent,Credit Card Refinancing,1909,4,25,7.0,0.5322968174831954,0,0,GA,59,Bachelor's,Single,2,190,0
45,2023-02-28,28420,0.20221766120477513,24,801,78784,0.412573045866677,6,Rent,Debt Consolidation,400,11,27,21.0,0.08633668965160257,0,0,OH,62,PhD,Widowed,2,138,0
46,2021-10-08,16360,0.12085355296820932,24,509,149193,0.26932163572393164,12,Own,Other,1234,8,13,26.0,0.2301746338957943,0,0,IL,67,High School,Married,0,70,0
47,2020-01-21,40030,0.2398142392629688,24,732,119644,0.16324012834565474,2,Rent,Home Improvement,179,2,20,33.0,0.7662316622037167,0,0,NY,52,High School,Married,1,138,1
48,2022-04-20,2058,0.24246204059755685,48,694,46797,0.30724048962718,18,Own,Business,935,1,6,20.0,0.6614756106844261,0,0,MI,64,PhD,Divorced,0,106,0
49,2020-06-15,21677,0.17418171804354163,36,511,67573,0.10740443056631258,14,Mortgage,Debt Consolidation,751,7,27,14.0,0.16651871053386136,0,0,OH,27,Master's,Widowed,0,213,0
50,2023-07-21,11724,0.2357320574029766,24,676,96120,0.5205224912562801,4,Mortgage,Business,532,6,9,4.0,0.4380151762580812,0,0,MI,41,Master's,Divorced,3,44,1
51,2021-01-22,29404,0.20217086890289915,24,676,34780,0.35674898067092864,10,Rent,Debt Consolidation,516,5,12,37.0,0.14199220593024975,0,0,FL,68,Bachelor's,Married,0,56,0
52,2021-08-23,38946,0.15937192819502524,24,716,57905,0.16958000545398091,17,Own,Other,1337,12,23,16.0,0.855817856373974,0,0,FL,62,PhD,Widowed,0,132,0
53,2020-11-11,40748,0.08606158708455564,12,510,172645,0.21849015919449236,2,Own,Other,1570,13,5,7.0,0.10916970175428886,0,0,GA,32,High School,Divorced,0,13,0
54,2020-01-14,30856,0.141719588702768,48,617,136049,0.3239875960692633,5,Own,Credit Card Refinancing,117,13,16,18.0,0.6542349967603346,0,0,PA,23,PhD,Single,1,122,0
55,2020-08-29,10200,0.16217489267252352,12,663,149651,0.19443469140777433,2,Rent,Debt Consolidation,1177,13,21,4.0,0.6070000009781692,1,0,NC,52,PhD,Divorced,3,202,0
56,2022-02-15,34997,0.22279231614700204,48,538,53359,0.23429958075054294,4,Own,Home Improvement,1732,8,13,22.0,0.47277664564684985,0,0,NY,59,Bachelor's,Widowed,4,208,1
57,2023-10-01,26611,0.14626667530713297,24,552,86062,0.3671927821176316,8,Own,Other,1918,11,21,18.0,0.2782346226641418,0,0,IL,47,Master's,Divorced,4,19,1
58,2021-07-18,42235,0.22953493453559135,36,717,93391,0.5163045065191928,18,Own,Credit Card Refinancing,845,13,23,13.0,0.4039564999930294,0,0,PA,48,High School,Widowed,4,198,0
59,2022-06-16,36057,0.1848697958046938,60,705,63463,0.30091984284496043,12,Mortgage,Other,339,2,24,9.0,0.806391300461047,0,0,GA,67,Bachelor's,Widowed,4,90,0
60,2023-09-25,2239,0.07739981261073428,60,811,119596,0.4584876367767742,5,Own,Business,945,2,22,30.0,0.7615508155461025,0,0,FL,67,High School,Divorced,3,190,0
61,2020-04-01,39138,0.2489962738650186,24,555,115018,0.5383421067303242,10,Mortgage,Other,517,9,11,12.0,0.7388091151611365,0,0,OH,52,High School,Divorced,0,9,0
62,2023-10-22,49938,0.15544653215078252,12,617,36571,0.208150470148081,13,Own,Debt Consolidation,955,1,25,21.0,0.7498235843610578,0,0,OH,45,Master's,Single,4,46,0
63,2022-08-13,1125,0.1283716592818158,36,752,170214,0.5035959852010801,5,Own,Credit Card Refinancing,1609,6,17,36.0,0.14388637435533913,0,0,FL,34,Master's,Divorced,0,56,0
64,2023-12-22,46272,0.18182275289390532,48,785,45104,0.47870109916551373,5,Own,Debt Consolidation,1567,13,24,38.0,0.09909645036243164,0,0,CA,46,Bachelor's,Widowed,4,74,0
65,2021-05-23,24857,0.07177866279620781,24,767,28625,0.27846864897406753,16,Mortgage,Home Improvement,1689,13,9,9.0,0.8614986228540221,0,0,TX,58,Associate's,Married,1,40,0
66,2022-02-14,16398,0.17730772935067088,36,790,59199,0.5947599797504336,10,Own,Home Improvement,698,3,21,30.0,0.8371745703444439,0,0,NY,62,Bachelor's,Divorced,0,67,0
67,2020-02-04,7638,0.1496472000998546,36,832,140725,0.23128618571797852,14,Rent,Other,1896,13,9,42.0,0.6813183040463634,0,0,TX,46,Bachelor's,Divorced,3,113,0
68,2020-07-24,7570,0.13133481399971664,48,679,166998,0.2274016330158478,8,Own,Credit Card Refinancing,1871,5,7,34.0,0.6059057453155382,0,0,IL,50,Associate's,Widowed,1,83,0
69,2023-01-09,4249,0.24060400423577985,36,734,51218,0.48612958232659886,16,Mortgage,Credit Card Refinancing,1246,8,4,12.0,0.3668717064823884,0,0,CA,52,High School,Married,1,62,0
70,2023-11-12,10110,0.15450794334641066,12,842,195544,0.3173286590255421,6,Mortgage,Credit Card Refinancing,519,7,9,29.0,0.22408259157800325,0,0,IL,64,PhD,Single,3,227,0
71,2022-10-22,41363,0.0938234958939877,12,695,111916,0.26539749739052165,6,Rent,Credit Card Refinancing,1689,13,24,33.0,0.6676564377298364,0,0,NY,60,Associate's,Married,1,174,0
72,2022-10-18,14605,0.14179269587545973,12,807,143182,0.18933140266955148,0,Rent,Other,315,12,11,35.0,0.9130346380824769,0,0,FL,23,PhD,Widowed,0,134,0
73,2023-11-14,13115,0.23387748091453453,36,579,40566,0.48266621546727206,7,Rent,Debt Consolidation,1543,4,6,34.0,0.43699657573815,0,0,PA,33,High School,Widowed,2,29,1
74,2021-07-19,40062,0.08521909426611894,12,634,53205,0.4931609030680385,4,Mortgage,Other,808,8,12,46.0,0.30321247022290354,0,0,NC,26,Associate's,Widowed,2,19,0
75,2023-02-03,23911,0.09279140773764738,48,521,129084,0.3832820016150702,18,Own,Debt Consolidation,650,11,5,3.0,0.2707418134894911,0,0,MI,48,Master's,Widowed,4,114,1
76,2021-12-03,39525,0.05260591355141675,36,830,49717,0.5786568065956864,7,Own,Business,1065,11,18,54.0,0.023705242899748624,1,0,PA,55,Bachelor's,Married,4,108,0
77,2021-02-05,33556,0.052838009879153436,60,724,127292,0.2590816352113271,16,Rent,Business,1351,10,27,52.0,0.5203167221940654,0,0,MI,35,Associate's,Married,0,143,0
78,2021-12-30,13595,0.2158783253917025,36,557,176207,0.2098095227396686,18,Rent,Debt Consolidation,1360,11,4,3.0,0.9882360298548315,0,0,NY,28,Associate's,Married,3,57,0
79,2020-06-10,2969,0.19642452136859118,48,592,179236,0.438733384467231,11,Own,Other,1767,14,19,46.0,0.8152377161393224,0,0,GA,58,High School,Divorced,0,38,0
80,2020-07-20,44753,0.12100821129039166,60,691,58562,0.4792043203998524,14,Rent,Home Improvement,1453,2,9,5.0,0.8974747181652583,0,0,IL,57,Master's,Widowed,4,21,1
81,2022-09-22,18275,0.18966223144551456,36,602,40169,0.2124529852759112,3,Own,Other,932,7,25,54.0,0.6211640962755061,0,1,NC,31,Associate's,Divorced,1,236,0
82,2020-09-26,5470,0.12904118526199404,12,506,41604,0.13830538213055663,11,Own,Home Improvement,1592,5,13,27.0,0.48144641048275083,0,0,MI,50,Master's,Divorced,0,51,0
83,2022-03-26,11225,0.24057935919956552,24,627,109670,0.505258243293186,12,Own,Other,779,11,22,29.0,0.9904570074037514,0,0,NC,37,PhD,Divorced,0,167,0
84,2023-07-18,43324,0.24341053628520698,24,554,134605,0.5882509868230062,13,Own,Credit Card Refinancing,586,6,17,26.0,0.4471621106388469,0,0,FL,59,Associate's,Single,3,215,0
85,2021-03-31,42974,0.12855875516186868,12,730,108738,0.4223361430361422,4,Mortgage,Credit Card Refinancing,1672,3,15,4.0,0.9168305757134467,0,0,CA,42,Master's,Divorced,4,20,1
86,2023-06-29,43759,0.22084438126817363,24,561,151756,0.23893345007194708,15,Own,Business,1702,11,22,43.0,0.761844808783735,0,0,NC,59,Bachelor's,Widowed,0,234,0
87,2022-10-13,24196,0.20461780833949325,24,739,148140,0.5983363042763961,6,Rent,Business,722,10,17,38.0,0.33097842523805265,0,0,NC,62,High School,Divorced,1,2,0
88,2020-10-22,41287,0.11199998743435786,12,589,122537,0.5466333181335388,14,Rent,Debt Consolidation,1538,7,28,34.0,0.503062183252985,0,0,GA,54,Master's,Widowed,1,237,0
89,2021-12-20,14669,0.0964079657802212,12,731,131301,0.3566903231401469,12,Rent,Home Improvement,318,7,5,38.0,0.3843292217637013,1,0,IL,50,High School,Single,2,32,0
90,2020-12-03,38380,0.14164693007856677,36,732,28007,0.5126606424209169,15,Rent,Credit Card Refinancing,820,2,2,43.0,0.1362232741659649,0,0,IL,69,Associate's,Married,4,111,0
91,2022-05-28,46141,0.20626976812288125,36,832,134915,0.5079102616314835,11,Mortgage,Other,480,1,2,14.0,0.356766581562193,0,0,MI,38,Associate's,Widowed,1,92,0
92,2022-12-12,49320,0.2420335569457491,12,791,137419,0.5673994848367497,6,Own,Debt Consolidation,186,10,23,18.0,0.8889728842800945,0,0,PA,34,PhD,Divorced,3,132,0
93,2022-03-02,48414,0.20271581377331452,48,844,61787,0.52046192188673,15,Own,Other,1584,2,16,29.0,0.752635685349068,0,0,CA,27,High School,Widowed,4,7,0
94,2020-08-04,39006,0.221041397003674,24,651,69582,0.42183961797858227,12,Rent,Credit Card Refinancing,914,12,21,37.0,0.277581074301662,0,1,NC,23,Bachelor's,Divorced,1,3,0
95,2022-02-02,16577,0.17061286123410332,36,644,103629,0.40465185947825366,2,Rent,Credit Card Refinancing,510,8,21,31.0,0.3679133130975384,0,0,IL,29,Bachelor's,Married,0,25,0
96,2020-07-06,23473,0.2170815661684252,24,629,25782,0.33367864416580584,14,Rent,Credit Card Refinancing,790,11,4,39.0,0.6164339230065218,0,0,OH,53,Master's,Widowed,4,112,0
97,2021-01-14,29625,0.20688417160068354,60,640,86770,0.4132428199853787,2,Own,Credit Card Refinancing,1112,10,15,28.0,0.4161398150084874,0,0,GA,57,Bachelor's,Divorced,1,9,0
98,2021-05-07,16504,0.12539710838525603,12,592,77645,0.4976082932651914,6,Mortgage,Other,624,3,10,5.0,0.5030441163645629,0,0,IL,30,High School,Widowed,0,215,0
99,2022-11-30,25089,0.16039806042414423,48,613,123509,0.5845188131512766,17,Mortgage,Debt Consolidation,546,11,20,25.0,0.6981684110959824,0,0,TX,44,Associate's,Married,2,215,0
100,2023-03-26,37487,0.210950624397939,60,783,183068,0.3336436790910601,13,Mortgage,Credit Card Refinancing,399,4,9,26.0,0.46725084814402074,0,0,PA,28,High School,Married,4,26,1
101,2020-01-15,1302,0.05921134683799128,60,642,49204,0.38682660149437853,17,Mortgage,Business,507,8,3,34.0,0.1909697896671958,0,0,OH,52,High School,Married,4,232,0
102,2020-03-05,32463,0.211615856471166,60,722,37152,0.3224027475293909,18,Rent,Debt Consolidation,1760,3,5,27.0,0.5205739373148293,0,0,FL,42,Associate's,Widowed,1,64,1
103,2021-06-04,45912,0.08557762480980469,12,731,110555,0.434244310491702,13,Own,Business,474,6,2,4.0,0.35611823021709244,0,0,NC,22,High School,Widowed,2,18,0
104,2023-09-29,30259,0.1529367234242878,36,532,39689,0.4149602520306298,19,Rent,Other,332,2,12,40.0,0.2907342284586226,0,0,FL,67,Bachelor's,Divorced,3,216,0
105,2023-02-26,43823,0.21165508791118753,12,775,103251,0.10891689509681166,5,Mortgage,Credit Card Refinancing,1886,3,6,55.0,0.3281085611065191,0,0,MI,23,Master's,Married,1,91,0
106,2021-10-09,38208,0.10076421563133897,36,669,126565,0.3705807795503292,7,Rent,Debt Consolidation,737,1,3,47.0,0.4390022174900057,0,0,NY,61,Master's,Divorced,1,237,0
107,2022-12-22,31659,0.09916148786123061,60,639,173014,0.14424344784950702,6,Mortgage,Credit Card Refinancing,1870,9,28,53.0,0.8866131428716211,0,0,NC,32,High School,Widowed,3,2,0
108,2023-03-08,36840,0.13055287969245039,60,700,58712,0.11319180900276918,19,Own,Credit Card Refinancing,749,4,14,15.0,0.7340571043302002,0,0,FL,58,Associate's,Single,3,1,0
109,2021-08-15,32890,0.22892855951552693,48,522,69632,0.4955985810423491,17,Mortgage,Debt Consolidation,1060,6,18,40.0,0.6678819385013619,0,0,FL,39,PhD,Married,3,48,0
110,2021-01-26,14598,0.05008855628744158,36,723,189103,0.22932493107965027,17,Rent,Credit Card Refinancing,1172,7,18,17.0,0.4712602108817334,0,0,MI,65,High School,Divorced,3,208,0
111,2021-02-22,48055,0.230276619328387,60,769,40478,0.27032753864364967,14,Own,Credit Card Refinancing,285,2,19,12.0,0.0018299471496834308,0,0,CA,45,High School,Married,3,191,0
112,2020-10-15,47733,0.08076140492832157,24,846,42551,0.1320422938020331,19,Mortgage,Home Improvement,1328,8,22,42.0,0.3405507114390913,0,0,NY,40,PhD,Divorced,0,107,0
113,2021-01-13,20508,0.24801727521349642,48,652,68068,0.18975013024717532,18,Mortgage,Home Improvement,177,12,29,24.0,0.8131920399794735,0,0,TX,26,Master's,Divorced,0,216,1
114,2020-08-18,43287,0.24096939860769362,12,832,113608,0.48280240912889616,1,Own,Debt Consolidation,1604,9,10,9.0,0.3881709095177397,0,0,OH,50,Master's,Single,3,164,0
115,2022-10-14,14380,0.14893503791825666,48,584,55561,0.3467654151163104,7,Rent,Debt Consolidation,1509,14,7,28.0,0.5638191250676405,0,0,NC,60,PhD,Widowed,2,191,0
116,2020-02-10,27984,0.15254404956252565,24,608,153964,0.5403342312750742,10,Own,Credit Card Refinancing,293,10,29,9.0,0.20473981634709681,0,0,IL,23,Associate's,Married,2,75,0
117,2022-11-17,45633,0.14630986805517085,36,530,44395,0.2986210657334176,17,Rent,Business,1226,11,21,5.0,0.9158577418457908,0,0,FL,38,High School,Widowed,3,26,0
118,2020-05-14,9125,0.17708872913190454,12,728,38756,0.23435036787713412,12,Mortgage,Debt Consolidation,1740,2,4,15.0,0.9231704357370666,0,0,NY,66,Bachelor's,Divorced,0,6,0
119,2020-07-19,37059,0.06814434044698621,12,739,185723,0.27379990722932546,8,Mortgage,Credit Card Refinancing,1499,5,9,24.0,0.1460703839583538,0,0,OH,32,Master's,Widowed,2,26,0
120,2022-02-18,5033,0.05652358966831331,36,809,86333,0.4563858967584522,8,Own,Business,386,2,4,43.0,0.7241589492063322,0,0,PA,58,Master's,Single,0,221,0
121,2022-07-18,38873,0.06154058568317977,48,640,172418,0.377502836167243,16,Mortgage,Home Improvement,1959,11,2,3.0,0.07523850775191299,0,0,OH,34,Master's,Widowed,1,43,0
122,2022-11-22,18087,0.1388730698483029,60,655,133561,0.5520956037762139,6,Own,Debt Consolidation,1605,5,21,36.0,0.5985476179800978,0,0,GA,50,Associate's,Divorced,0,122,0
123,2022-12-07,41901,0.10510958784389668,48,798,48024,0.40108438469444163,8,Mortgage,Credit Card Refinancing,1846,7,28,33.0,0.17865365082599638,0,0,NC,53,PhD,Divorced,3,129,0
124,2021-05-17,6704,0.17440791247419876,24,844,191890,0.34650910424075154,0,Mortgage,Home Improvement,349,6,14,18.0,0.14570525248920385,0,0,MI,66,Associate's,Single,4,9,1
125,2021-02-10,8848,0.2484884578749558,60,598,25947,0.4928763619433665,1,Rent,Other,1928,4,22,32.0,0.004119817392669867,0,0,IL,61,Master's,Married,3,27,0
126,2022-03-15,22592,0.1272646346152932,48,546,147192,0.5737669253667226,3,Own,Home Improvement,1324,14,6,3.0,0.9408571368674034,0,0,IL,64,High School,Single,1,71,0
127,2020-04-08,46743,0.16476825082090268,36,826,114238,0.27792295562248526,13,Own,Credit Card Refinancing,635,2,17,43.0,0.8292524915204579,0,0,FL,29,Master's,Married,0,117,0
128,2021-11-14,7924,0.1331207791814671,24,566,87428,0.22493810508273884,3,Mortgage,Business,1584,7,22,33.0,0.07747555725795907,0,0,TX,31,High School,Divorced,2,118,0
129,2021-12-26,28208,0.21945433354437188,24,561,180826,0.4081086981470696,1,Rent,Other,399,12,25,11.0,0.5993756100670233,0,0,OH,46,High School,Widowed,3,3,0
130,2022-08-18,20614,0.23044728069244763,24,608,83355,0.3494364105769405,7,Rent,Other,1601,10,17,30.0,0.23289823479923288,0,0,IL,32,Master's,Divorced,2,189,0
131,2021-09-04,1488,0.22547112244105202,60,666,149958,0.5945927874323917,17,Own,Other,1206,9,25,15.0,0.2640158821396067,0,0,OH,49,Master's,Single,0,201,0
132,2021-10-04,40882,0.24487444773585154,12,536,164490,0.3311808920738667,18,Own,Debt Consolidation,908,1,13,1.0,0.8741703216759925,0,0,NY,54,High School,Single,1,130,0
133,2022-10-25,26923,0.055503837028083064,60,618,155905,0.13716577568017294,13,Mortgage,Credit Card Refinancing,557,3,14,48.0,0.11432574560120223,0,0,NC,60,Associate's,Widowed,3,124,0
134,2023-05-26,49508,0.2179632324291062,48,585,192905,0.588684530388818,19,Own,Other,790,7,5,57.0,0.6014901356630435,0,0,NC,47,Associate's,Single,2,74,0
135,2021-05-17,36941,0.20035443460781865,12,551,151637,0.52179347279677,9,Mortgage,Home Improvement,1421,14,10,59.0,0.4012555349790091,0,0,NC,29,Associate's,Divorced,3,81,0
136,2022-02-05,30165,0.09573888188007296,48,590,191252,0.18912507197898168,16,Rent,Business,1487,9,17,1.0,0.1908005996302896,0,0,IL,59,Bachelor's,Widowed,3,159,0
137,2021-02-01,2667,0.24126401867750552,12,788,38402,0.5523026265564347,7,Own,Credit Card Refinancing,817,13,2,35.0,0.4519180752626625,0,0,MI,47,High School,Married,2,65,1
138,2022-05-20,27213,0.0796355856459891,60,836,193917,0.27033341041087233,13,Rent,Home Improvement,139,5,6,5.0,0.9404892871061282,1,0,NC,53,Bachelor's,Single,1,122,1
139,2022-03-05,5114,0.1859099854267817,24,797,95851,0.2885559922672223,7,Rent,Debt Consolidation,1939,7,22,59.0,0.7816100492305522,0,0,CA,67,Bachelor's,Married,3,146,0
140,2021-01-27,37321,0.0949780433631825,36,703,32834,0.5531957411810796,4,Mortgage,Other,1748,10,6,22.0,0.13211140136366695,0,0,NY,49,High School,Widowed,1,134,0
141,2020-07-25,8761,0.13627612975481493,24,737,87850,0.36505778251765764,15,Rent,Home Improvement,1463,7,25,38.0,0.8494297397176472,0,0,MI,28,Bachelor's,Single,1,102,0
142,2022-11-04,32116,0.1938319793889138,60,654,57180,0.16888146469925983,7,Mortgage,Credit Card Refinancing,1639,4,26,54.0,0.9374405289874431,0,0,IL,56,High School,Widowed,0,233,0
143,2022-06-10,34768,0.16266492840660934,12,739,154955,0.284528079670902,9,Mortgage,Home Improvement,207,5,20,46.0,0.27696428084220726,0,0,IL,23,PhD,Single,2,42,0
144,2022-05-13,49406,0.13550036626562234,24,635,129688,0.4610487231339404,7,Rent,Debt Consolidation,1439,2,10,51.0,0.33341969551534767,0,0,PA,43,PhD,Single,0,111,0
145,2022-01-12,26426,0.11526768618639745,60,563,126520,0.18709209403400837,8,Rent,Business,1237,8,28,43.0,0.12630992662205498,0,0,GA,43,High School,Single,4,196,1
